
encoding train: 0it [00:00, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

encoding train: 0it [00:03, ?it/s, docs=1, tokens=167]
encoding train: 1it [00:03,  3.58s/it, docs=1, tokens=167]
encoding train: 1it [00:03,  3.58s/it, docs=44, tokens=7513]
encoding train: 1it [00:03,  3.58s/it, docs=45, tokens=7722]
encoding train: 1it [00:03,  3.58s/it, docs=46, tokens=7865]
encoding train: 1it [00:03,  3.58s/it, docs=47, tokens=8052]
encoding train: 1it [00:03,  3.58s/it, docs=48, tokens=8284]
encoding train: 1it [00:03,  3.58s/it, docs=49, tokens=8422]
encoding train: 1it [00:03,  3.58s/it, docs=50, tokens=8615]
encoding train: 1it [00:03,  3.58s/it, docs=51, tokens=8806]
encoding train: 1it [00:03,  3.58s/it, docs=52, tokens=8965]
encoding train: 1it [00:03,  3.58s/it, docs=53, tokens=9179]
encoding train: 1it [00:03,  3.58s/it, docs=54, tokens=9419]
encoding train: 1it [00:03,  3.58s/it, docs=55, tokens=9550]
encoding train: 1it [00:03,  3.58s/it, docs=56, tokens=9744]
encoding train: 1it [00:03,  3.58s/it, docs=57, tokens=9984]
encoding train: 1it [00:03,  3.58s/it, docs=58, tokens=10138]
encoding train: 1it [00:03,  3.58s/it, docs=59, tokens=10403]
encoding train: 1it [00:03,  3.58s/it, docs=60, tokens=10630]
encoding train: 1it [00:03,  3.58s/it, docs=61, tokens=10778]
encoding train: 1it [00:03,  3.58s/it, docs=62, tokens=11045]
encoding train: 1it [00:03,  3.58s/it, docs=63, tokens=11265]
encoding train: 1it [00:03,  3.58s/it, docs=64, tokens=11458]
encoding train: 1it [00:03,  3.58s/it, docs=65, tokens=11672]
encoding train: 1it [00:03,  3.58s/it, docs=66, tokens=11843]
encoding train: 1it [00:03,  3.58s/it, docs=67, tokens=12073]
encoding train: 1it [00:03,  3.58s/it, docs=68, tokens=12303]
encoding train: 1it [00:03,  3.58s/it, docs=69, tokens=12450]
encoding train: 1it [00:03,  3.58s/it, docs=70, tokens=12655]
encoding train: 1it [00:03,  3.58s/it, docs=71, tokens=12886]
encoding train: 1it [00:03,  3.58s/it, docs=72, tokens=13061]
encoding train: 1it [00:03,  3.58s/it, docs=73, tokens=13256]
encoding train: 1it [00:03,  3.58s/it, docs=74, tokens=13413]
encoding train: 1it [00:03,  3.58s/it, docs=75, tokens=13610]
encoding train: 1it [00:03,  3.58s/it, docs=76, tokens=13827]
encoding train: 1it [00:03,  3.58s/it, docs=77, tokens=14028]
encoding train: 1it [00:03,  3.58s/it, docs=78, tokens=14278]
encoding train: 1it [00:03,  3.58s/it, docs=79, tokens=14499]
encoding train: 1it [00:03,  3.58s/it, docs=80, tokens=14652]
encoding train: 1it [00:03,  3.58s/it, docs=81, tokens=14880]
encoding train: 1it [00:03,  3.58s/it, docs=82, tokens=15119]
encoding train: 1it [00:03,  3.58s/it, docs=83, tokens=15307]
encoding train: 1it [00:03,  3.58s/it, docs=84, tokens=15547]
encoding train: 1it [00:03,  3.58s/it, docs=85, tokens=15789]
encoding train: 1it [00:03,  3.58s/it, docs=86, tokens=15925]
encoding train: 1it [00:03,  3.58s/it, docs=87, tokens=16075]
encoding train: 1it [00:03,  3.58s/it, docs=88, tokens=16292]
encoding train: 1it [00:03,  3.58s/it, docs=89, tokens=16497]
encoding train: 1it [00:03,  3.58s/it, docs=90, tokens=16647]
encoding train: 1it [00:03,  3.58s/it, docs=91, tokens=16852]
encoding train: 1it [00:03,  3.58s/it, docs=92, tokens=17094]
encoding train: 1it [00:03,  3.58s/it, docs=93, tokens=17244]
encoding train: 1it [00:03,  3.58s/it, docs=94, tokens=17435]
encoding train: 1it [00:03,  3.58s/it, docs=95, tokens=17700]
encoding train: 1it [00:03,  3.58s/it, docs=96, tokens=17907]
encoding train: 1it [00:03,  3.58s/it, docs=97, tokens=18137]
encoding train: 1it [00:03,  3.58s/it, docs=98, tokens=18363]
encoding train: 1it [00:03,  3.58s/it, docs=99, tokens=18637]
encoding train: 1it [00:03,  3.58s/it, docs=100, tokens=18896]
encoding train: 1it [00:03,  3.58s/it, docs=101, tokens=19066]
encoding train: 1it [00:03,  3.58s/it, docs=102, tokens=19329]
encoding train: 1it [00:03,  3.58s/it, docs=103, tokens=19515]
encoding train: 1it [00:03,  3.58s/it, docs=104, tokens=19752]
encoding train: 1it [00:03,  3.58s/it, docs=105, tokens=2e+4] 
encoding train: 1it [00:03,  3.58s/it, docs=106, tokens=20214]
encoding train: 1it [00:03,  3.58s/it, docs=107, tokens=20419]
encoding train: 1it [00:03,  3.58s/it, docs=108, tokens=20721]
encoding train: 1it [00:03,  3.58s/it, docs=109, tokens=20910]
encoding train: 1it [00:03,  3.58s/it, docs=110, tokens=21118]
encoding train: 1it [00:03,  3.58s/it, docs=111, tokens=21300]
encoding train: 1it [00:03,  3.58s/it, docs=112, tokens=21431]
encoding train: 1it [00:03,  3.58s/it, docs=113, tokens=21687]
encoding train: 1it [00:03,  3.58s/it, docs=114, tokens=21869]
encoding train: 1it [00:03,  3.58s/it, docs=115, tokens=22097]
encoding train: 1it [00:03,  3.58s/it, docs=116, tokens=22395]
encoding train: 1it [00:03,  3.58s/it, docs=117, tokens=22539]
encoding train: 1it [00:03,  3.58s/it, docs=118, tokens=22741]
encoding train: 1it [00:03,  3.58s/it, docs=119, tokens=22918]
encoding train: 1it [00:03,  3.58s/it, docs=120, tokens=23149]
encoding train: 1it [00:03,  3.58s/it, docs=121, tokens=23387]
encoding train: 1it [00:03,  3.58s/it, docs=122, tokens=23563]
encoding train: 1it [00:03,  3.58s/it, docs=123, tokens=23761]
encoding train: 1it [00:03,  3.58s/it, docs=124, tokens=23937]
encoding train: 1it [00:03,  3.58s/it, docs=125, tokens=24232]
encoding train: 1it [00:03,  3.58s/it, docs=126, tokens=24464]
encoding train: 1it [00:03,  3.58s/it, docs=127, tokens=24703]
encoding train: 1it [00:03,  3.58s/it, docs=128, tokens=24922]
encoding train: 1it [00:03,  3.58s/it, docs=129, tokens=25110]
encoding train: 1it [00:03,  3.58s/it, docs=130, tokens=25337]
encoding train: 1it [00:03,  3.58s/it, docs=131, tokens=25514]
encoding train: 1it [00:03,  3.58s/it, docs=132, tokens=25710]
encoding train: 1it [00:03,  3.58s/it, docs=133, tokens=25982]
encoding train: 1it [00:03,  3.58s/it, docs=134, tokens=26164]
encoding train: 1it [00:03,  3.58s/it, docs=135, tokens=26414]
encoding train: 1it [00:03,  3.58s/it, docs=136, tokens=26555]
encoding train: 1it [00:03,  3.58s/it, docs=137, tokens=26767]
encoding train: 1it [00:03,  3.58s/it, docs=138, tokens=26971]
encoding train: 1it [00:03,  3.58s/it, docs=139, tokens=27148]
encoding train: 1it [00:03,  3.58s/it, docs=140, tokens=27391]
encoding train: 1it [00:03,  3.58s/it, docs=141, tokens=27619]
encoding train: 1it [00:03,  3.58s/it, docs=142, tokens=27856]
encoding train: 1it [00:03,  3.58s/it, docs=143, tokens=28031]
encoding train: 1it [00:03,  3.58s/it, docs=144, tokens=28199]
encoding train: 1it [00:03,  3.58s/it, docs=145, tokens=28422]
encoding train: 1it [00:03,  3.58s/it, docs=146, tokens=28671]
encoding train: 1it [00:03,  3.58s/it, docs=147, tokens=28910]
encoding train: 1it [00:03,  3.58s/it, docs=148, tokens=29103]
encoding train: 1it [00:03,  3.58s/it, docs=149, tokens=29290]
encoding train: 1it [00:03,  3.58s/it, docs=150, tokens=29457]
encoding train: 1it [00:03,  3.58s/it, docs=151, tokens=29606]
encoding train: 1it [00:03,  3.58s/it, docs=152, tokens=29766]
encoding train: 1it [00:03,  3.58s/it, docs=153, tokens=3e+4] 
encoding train: 1it [00:03,  3.58s/it, docs=154, tokens=30225]
encoding train: 1it [00:03,  3.58s/it, docs=155, tokens=30407]
encoding train: 1it [00:03,  3.58s/it, docs=156, tokens=30691]
encoding train: 1it [00:03,  3.58s/it, docs=157, tokens=30871]
encoding train: 1it [00:03,  3.58s/it, docs=158, tokens=31100]
encoding train: 1it [00:03,  3.58s/it, docs=159, tokens=31347]
encoding train: 1it [00:03,  3.58s/it, docs=160, tokens=31510]
encoding train: 1it [00:03,  3.58s/it, docs=161, tokens=31685]
encoding train: 1it [00:03,  3.58s/it, docs=162, tokens=31886]
encoding train: 1it [00:03,  3.58s/it, docs=163, tokens=32069]
encoding train: 1it [00:03,  3.58s/it, docs=164, tokens=32264]
encoding train: 1it [00:03,  3.58s/it, docs=165, tokens=32429]
encoding train: 1it [00:03,  3.58s/it, docs=166, tokens=32639]
encoding train: 1it [00:03,  3.58s/it, docs=167, tokens=32782]
encoding train: 1it [00:03,  3.58s/it, docs=168, tokens=32994]
encoding train: 1it [00:03,  3.58s/it, docs=169, tokens=33230]
encoding train: 1it [00:03,  3.58s/it, docs=170, tokens=33441]
encoding train: 1it [00:03,  3.58s/it, docs=171, tokens=33621]
encoding train: 1it [00:03,  3.58s/it, docs=172, tokens=33848]
encoding train: 1it [00:03,  3.58s/it, docs=173, tokens=34077]
encoding train: 1it [00:03,  3.58s/it, docs=174, tokens=34263]
encoding train: 1it [00:03,  3.58s/it, docs=175, tokens=34488]
encoding train: 1it [00:03,  3.58s/it, docs=176, tokens=34712]
encoding train: 1it [00:03,  3.58s/it, docs=177, tokens=34882]
encoding train: 1it [00:03,  3.58s/it, docs=178, tokens=35090]
encoding train: 1it [00:03,  3.58s/it, docs=179, tokens=35256]
encoding train: 1it [00:03,  3.58s/it, docs=180, tokens=35474]
encoding train: 1it [00:03,  3.58s/it, docs=181, tokens=35699]
encoding train: 1it [00:03,  3.58s/it, docs=182, tokens=35901]
encoding train: 1it [00:03,  3.58s/it, docs=183, tokens=36157]
encoding train: 1it [00:03,  3.58s/it, docs=184, tokens=36409]
encoding train: 1it [00:03,  3.58s/it, docs=185, tokens=36637]
encoding train: 1it [00:03,  3.58s/it, docs=186, tokens=36816]
encoding train: 1it [00:03,  3.58s/it, docs=187, tokens=37030]
encoding train: 1it [00:03,  3.58s/it, docs=188, tokens=37316]
encoding train: 1it [00:03,  3.58s/it, docs=189, tokens=37497]
encoding train: 1it [00:03,  3.58s/it, docs=190, tokens=37708]
encoding train: 1it [00:03,  3.58s/it, docs=191, tokens=37952]
encoding train: 1it [00:03,  3.58s/it, docs=192, tokens=38184]
encoding train: 1it [00:03,  3.58s/it, docs=193, tokens=38327]
encoding train: 1it [00:03,  3.58s/it, docs=194, tokens=38457]
encoding train: 1it [00:03,  3.58s/it, docs=195, tokens=38666]
encoding train: 1it [00:03,  3.58s/it, docs=196, tokens=38861]
encoding train: 1it [00:03,  3.58s/it, docs=197, tokens=39117]
encoding train: 1it [00:03,  3.58s/it, docs=198, tokens=39246]
encoding train: 1it [00:03,  3.58s/it, docs=199, tokens=39439]
encoding train: 1it [00:03,  3.58s/it, docs=200, tokens=39684]
encoding train: 1it [00:03,  3.58s/it, docs=201, tokens=4e+4] 
encoding train: 1it [00:03,  3.58s/it, docs=202, tokens=40197]
encoding train: 1it [00:03,  3.58s/it, docs=203, tokens=40370]
encoding train: 1it [00:03,  3.58s/it, docs=204, tokens=40536]
encoding train: 1it [00:03,  3.58s/it, docs=205, tokens=40739]
encoding train: 1it [00:03,  3.58s/it, docs=206, tokens=40977]
encoding train: 1it [00:03,  3.58s/it, docs=207, tokens=41187]
encoding train: 1it [00:03,  3.58s/it, docs=208, tokens=41279]
encoding train: 1it [00:03,  3.58s/it, docs=209, tokens=41523]
encoding train: 1it [00:03,  3.58s/it, docs=210, tokens=41705]
encoding train: 1it [00:03,  3.58s/it, docs=211, tokens=41848]
encoding train: 1it [00:03,  3.58s/it, docs=212, tokens=42048]
encoding train: 1it [00:03,  3.58s/it, docs=213, tokens=42266]
encoding train: 1it [00:03,  3.58s/it, docs=214, tokens=42433]
encoding train: 1it [00:03,  3.58s/it, docs=215, tokens=42615]
encoding train: 1it [00:03,  3.58s/it, docs=216, tokens=42787]
encoding train: 1it [00:03,  3.58s/it, docs=217, tokens=42963]
encoding train: 1it [00:03,  3.58s/it, docs=218, tokens=43199]
encoding train: 1it [00:03,  3.58s/it, docs=219, tokens=43398]
encoding train: 1it [00:03,  3.58s/it, docs=220, tokens=43610]
encoding train: 1it [00:03,  3.58s/it, docs=221, tokens=43793]
encoding train: 1it [00:03,  3.58s/it, docs=222, tokens=44026]
encoding train: 1it [00:03,  3.58s/it, docs=223, tokens=44218]
encoding train: 1it [00:03,  3.58s/it, docs=224, tokens=44440]
encoding train: 1it [00:03,  3.58s/it, docs=225, tokens=44625]
encoding train: 1it [00:03,  3.58s/it, docs=226, tokens=44879]
encoding train: 1it [00:03,  3.58s/it, docs=227, tokens=45082]
encoding train: 1it [00:03,  3.58s/it, docs=228, tokens=45285]
encoding train: 1it [00:03,  3.58s/it, docs=229, tokens=45491]
encoding train: 1it [00:03,  3.58s/it, docs=230, tokens=45783]
encoding train: 1it [00:03,  3.58s/it, docs=231, tokens=46022]
encoding train: 1it [00:03,  3.58s/it, docs=232, tokens=46222]
encoding train: 1it [00:03,  3.58s/it, docs=233, tokens=46426]
encoding train: 1it [00:03,  3.58s/it, docs=234, tokens=46521]
encoding train: 1it [00:03,  3.58s/it, docs=235, tokens=46683]
encoding train: 1it [00:03,  3.58s/it, docs=236, tokens=46875]
encoding train: 1it [00:03,  3.58s/it, docs=237, tokens=47152]
encoding train: 1it [00:03,  3.58s/it, docs=238, tokens=47391]
encoding train: 1it [00:03,  3.58s/it, docs=239, tokens=47613]
encoding train: 1it [00:03,  3.58s/it, docs=240, tokens=47833]
encoding train: 1it [00:03,  3.58s/it, docs=241, tokens=47993]
encoding train: 1it [00:03,  3.58s/it, docs=242, tokens=48145]
encoding train: 1it [00:03,  3.58s/it, docs=243, tokens=48333]
encoding train: 1it [00:03,  3.58s/it, docs=244, tokens=48526]
encoding train: 1it [00:03,  3.58s/it, docs=245, tokens=48743]
encoding train: 1it [00:03,  3.58s/it, docs=246, tokens=48927]
encoding train: 1it [00:03,  3.58s/it, docs=247, tokens=49121]
encoding train: 1it [00:03,  3.58s/it, docs=248, tokens=49350]
encoding train: 1it [00:03,  3.58s/it, docs=249, tokens=49596]
encoding train: 1it [00:03,  3.58s/it, docs=250, tokens=49818]
encoding train: 1it [00:03,  3.58s/it, docs=251, tokens=5e+4] 
encoding train: 1it [00:03,  3.58s/it, docs=252, tokens=50237]
encoding train: 1it [00:03,  3.58s/it, docs=253, tokens=50443]
encoding train: 1it [00:03,  3.58s/it, docs=254, tokens=50662]
encoding train: 1it [00:03,  3.58s/it, docs=255, tokens=50850]
encoding train: 1it [00:03,  3.58s/it, docs=256, tokens=51024]
encoding train: 1it [00:03,  3.58s/it, docs=257, tokens=51286]
encoding train: 1it [00:03,  3.58s/it, docs=258, tokens=51479]
encoding train: 1it [00:03,  3.58s/it, docs=259, tokens=51721]
encoding train: 1it [00:03,  3.58s/it, docs=260, tokens=51938]
encoding train: 1it [00:03,  3.58s/it, docs=261, tokens=52160]
encoding train: 1it [00:03,  3.58s/it, docs=262, tokens=52324]
encoding train: 1it [00:03,  3.58s/it, docs=263, tokens=52602]
encoding train: 1it [00:03,  3.58s/it, docs=264, tokens=52818]
encoding train: 1it [00:03,  3.58s/it, docs=265, tokens=53034]
encoding train: 1it [00:03,  3.58s/it, docs=266, tokens=53236]
encoding train: 1it [00:03,  3.58s/it, docs=267, tokens=53397]
encoding train: 1it [00:03,  3.58s/it, docs=268, tokens=53597]
encoding train: 1it [00:03,  3.58s/it, docs=269, tokens=53796]
encoding train: 1it [00:03,  3.58s/it, docs=270, tokens=54038]
encoding train: 1it [00:03,  3.58s/it, docs=271, tokens=54266]
encoding train: 1it [00:03,  3.58s/it, docs=272, tokens=54442]
encoding train: 1it [00:03,  3.58s/it, docs=273, tokens=54662]
encoding train: 1it [00:03,  3.58s/it, docs=274, tokens=54926]
encoding train: 1it [00:03,  3.58s/it, docs=275, tokens=55187]
encoding train: 1it [00:03,  3.58s/it, docs=276, tokens=55441]
encoding train: 1it [00:03,  3.58s/it, docs=277, tokens=55740]
encoding train: 1it [00:03,  3.58s/it, docs=278, tokens=55944]
encoding train: 1it [00:03,  3.58s/it, docs=279, tokens=56095]
encoding train: 1it [00:03,  3.58s/it, docs=280, tokens=56324]
encoding train: 1it [00:03,  3.58s/it, docs=281, tokens=56504]
encoding train: 1it [00:03,  3.58s/it, docs=282, tokens=56765]
encoding train: 1it [00:03,  3.58s/it, docs=283, tokens=56947]
encoding train: 1it [00:03,  3.58s/it, docs=284, tokens=57109]
encoding train: 1it [00:03,  3.58s/it, docs=285, tokens=57292]
encoding train: 1it [00:03,  3.58s/it, docs=286, tokens=57566]
encoding train: 1it [00:03,  3.58s/it, docs=287, tokens=57870]
encoding train: 1it [00:03,  3.58s/it, docs=288, tokens=58096]
encoding train: 1it [00:03,  3.58s/it, docs=289, tokens=58297]
encoding train: 1it [00:03,  3.58s/it, docs=290, tokens=58514]
encoding train: 1it [00:03,  3.58s/it, docs=291, tokens=58745]
encoding train: 1it [00:03,  3.58s/it, docs=292, tokens=59054]
encoding train: 1it [00:03,  3.58s/it, docs=293, tokens=59225]
encoding train: 1it [00:03,  3.58s/it, docs=294, tokens=59416]
encoding train: 1it [00:03,  3.58s/it, docs=295, tokens=59590]
encoding train: 1it [00:03,  3.58s/it, docs=296, tokens=59871]
encoding train: 1it [00:03,  3.58s/it, docs=297, tokens=60106]
encoding train: 1it [00:03,  3.58s/it, docs=298, tokens=60358]
encoding train: 1it [00:03,  3.58s/it, docs=299, tokens=60569]
encoding train: 1it [00:03,  3.58s/it, docs=300, tokens=60691]
encoding train: 1it [00:03,  3.58s/it, docs=301, tokens=60940]
encoding train: 1it [00:03,  3.58s/it, docs=302, tokens=61130]
encoding train: 1it [00:03,  3.58s/it, docs=303, tokens=61387]
encoding train: 1it [00:03,  3.58s/it, docs=304, tokens=61598]
encoding train: 1it [00:03,  3.58s/it, docs=305, tokens=61812]
encoding train: 1it [00:03,  3.58s/it, docs=306, tokens=62065]
encoding train: 1it [00:03,  3.58s/it, docs=307, tokens=62360]
encoding train: 1it [00:03,  3.58s/it, docs=308, tokens=62555]
encoding train: 1it [00:03,  3.58s/it, docs=309, tokens=62768]
encoding train: 1it [00:03,  3.58s/it, docs=310, tokens=62943]
encoding train: 1it [00:03,  3.58s/it, docs=311, tokens=63132]
encoding train: 1it [00:03,  3.58s/it, docs=312, tokens=63386]
encoding train: 1it [00:03,  3.58s/it, docs=313, tokens=63600]
encoding train: 1it [00:03,  3.58s/it, docs=314, tokens=63761]
encoding train: 1it [00:03,  3.58s/it, docs=315, tokens=63995]
encoding train: 1it [00:03,  3.58s/it, docs=316, tokens=64220]
encoding train: 1it [00:03,  3.58s/it, docs=317, tokens=64423]
encoding train: 1it [00:03,  3.58s/it, docs=318, tokens=64622]
encoding train: 1it [00:03,  3.58s/it, docs=319, tokens=64826]
encoding train: 1it [00:03,  3.58s/it, docs=320, tokens=65025]
encoding train: 1it [00:03,  3.58s/it, docs=321, tokens=65236]
encoding train: 1it [00:03,  3.58s/it, docs=322, tokens=65440]
encoding train: 1it [00:03,  3.58s/it, docs=323, tokens=65691]
encoding train: 1it [00:03,  3.58s/it, docs=324, tokens=65869]
encoding train: 1it [00:03,  3.58s/it, docs=325, tokens=66068]
encoding train: 1it [00:03,  3.58s/it, docs=326, tokens=66278]
encoding train: 1it [00:03,  3.58s/it, docs=327, tokens=66462]
encoding train: 1it [00:03,  3.58s/it, docs=328, tokens=66656]
encoding train: 1it [00:03,  3.58s/it, docs=329, tokens=66895]
encoding train: 1it [00:03,  3.58s/it, docs=330, tokens=67121]
encoding train: 1it [00:03,  3.58s/it, docs=331, tokens=67382]
encoding train: 1it [00:03,  3.58s/it, docs=332, tokens=67535]
encoding train: 1it [00:03,  3.58s/it, docs=333, tokens=67739]
encoding train: 1it [00:03,  3.58s/it, docs=334, tokens=67899]
encoding train: 334it [00:03, 128.18it/s, docs=334, tokens=67899]
encoding train: 334it [00:03, 128.18it/s, docs=335, tokens=68164]
encoding train: 334it [00:03, 128.18it/s, docs=336, tokens=68374]
encoding train: 334it [00:03, 128.18it/s, docs=337, tokens=68582]
encoding train: 334it [00:03, 128.18it/s, docs=338, tokens=68777]
encoding train: 334it [00:03, 128.18it/s, docs=339, tokens=69019]
encoding train: 334it [00:03, 128.18it/s, docs=340, tokens=69265]
encoding train: 334it [00:03, 128.18it/s, docs=341, tokens=69476]
encoding train: 334it [00:03, 128.18it/s, docs=342, tokens=69717]
encoding train: 334it [00:03, 128.18it/s, docs=343, tokens=69892]
encoding train: 334it [00:03, 128.18it/s, docs=344, tokens=70053]
encoding train: 334it [00:03, 128.18it/s, docs=345, tokens=70261]
encoding train: 334it [00:03, 128.18it/s, docs=346, tokens=70479]
encoding train: 334it [00:03, 128.18it/s, docs=347, tokens=70732]
encoding train: 334it [00:03, 128.18it/s, docs=348, tokens=70946]
encoding train: 334it [00:03, 128.18it/s, docs=349, tokens=71151]
encoding train: 334it [00:03, 128.18it/s, docs=350, tokens=71330]
encoding train: 334it [00:03, 128.18it/s, docs=351, tokens=71472]
encoding train: 334it [00:03, 128.18it/s, docs=352, tokens=71634]
encoding train: 334it [00:03, 128.18it/s, docs=353, tokens=71847]
encoding train: 334it [00:03, 128.18it/s, docs=354, tokens=71996]
encoding train: 334it [00:03, 128.18it/s, docs=355, tokens=72198]
encoding train: 334it [00:03, 128.18it/s, docs=356, tokens=72409]
encoding train: 334it [00:03, 128.18it/s, docs=357, tokens=72591]
encoding train: 334it [00:03, 128.18it/s, docs=358, tokens=72850]
encoding train: 334it [00:03, 128.18it/s, docs=359, tokens=73045]
encoding train: 334it [00:03, 128.18it/s, docs=360, tokens=73235]
encoding train: 334it [00:03, 128.18it/s, docs=361, tokens=73466]
encoding train: 334it [00:03, 128.18it/s, docs=362, tokens=73615]
encoding train: 334it [00:03, 128.18it/s, docs=363, tokens=73739]
encoding train: 334it [00:03, 128.18it/s, docs=364, tokens=73958]
encoding train: 334it [00:03, 128.18it/s, docs=365, tokens=74093]
encoding train: 334it [00:03, 128.18it/s, docs=366, tokens=74271]
encoding train: 334it [00:03, 128.18it/s, docs=367, tokens=74462]
encoding train: 334it [00:03, 128.18it/s, docs=368, tokens=74648]
encoding train: 334it [00:03, 128.18it/s, docs=369, tokens=74858]
encoding train: 334it [00:03, 128.18it/s, docs=370, tokens=75080]
encoding train: 334it [00:03, 128.18it/s, docs=371, tokens=75320]
encoding train: 334it [00:03, 128.18it/s, docs=372, tokens=75484]
encoding train: 334it [00:03, 128.18it/s, docs=373, tokens=75652]
encoding train: 334it [00:03, 128.18it/s, docs=374, tokens=75897]
encoding train: 334it [00:03, 128.18it/s, docs=375, tokens=76115]
encoding train: 334it [00:03, 128.18it/s, docs=376, tokens=76272]
encoding train: 334it [00:03, 128.18it/s, docs=377, tokens=76503]
encoding train: 334it [00:03, 128.18it/s, docs=378, tokens=76665]
encoding train: 334it [00:03, 128.18it/s, docs=379, tokens=76743]
encoding train: 334it [00:03, 128.18it/s, docs=380, tokens=76887]
encoding train: 334it [00:03, 128.18it/s, docs=381, tokens=77079]
encoding train: 334it [00:03, 128.18it/s, docs=382, tokens=77266]
encoding train: 334it [00:03, 128.18it/s, docs=383, tokens=77425]
encoding train: 334it [00:03, 128.18it/s, docs=384, tokens=77626]
encoding train: 334it [00:03, 128.18it/s, docs=385, tokens=77785]
encoding train: 334it [00:03, 128.18it/s, docs=386, tokens=77891]
encoding train: 334it [00:03, 128.18it/s, docs=387, tokens=78114]
encoding train: 334it [00:03, 128.18it/s, docs=388, tokens=78346]
encoding train: 334it [00:03, 128.18it/s, docs=389, tokens=78556]
encoding train: 334it [00:03, 128.18it/s, docs=390, tokens=78727]
encoding train: 334it [00:03, 128.18it/s, docs=391, tokens=78916]
encoding train: 334it [00:03, 128.18it/s, docs=392, tokens=79072]
encoding train: 334it [00:03, 128.18it/s, docs=393, tokens=79329]
encoding train: 334it [00:03, 128.18it/s, docs=394, tokens=79473]
encoding train: 334it [00:03, 128.18it/s, docs=395, tokens=79735]
encoding train: 334it [00:03, 128.18it/s, docs=396, tokens=79887]
encoding train: 334it [00:03, 128.18it/s, docs=397, tokens=8e+4] 
encoding train: 334it [00:03, 128.18it/s, docs=398, tokens=80287]
encoding train: 334it [00:03, 128.18it/s, docs=399, tokens=80495]
encoding train: 334it [00:03, 128.18it/s, docs=400, tokens=80687]
encoding train: 334it [00:03, 128.18it/s, docs=401, tokens=80798]
encoding train: 334it [00:03, 128.18it/s, docs=402, tokens=80999]
encoding train: 334it [00:03, 128.18it/s, docs=403, tokens=81178]
encoding train: 334it [00:03, 128.18it/s, docs=404, tokens=81336]
